"","playDate","genre","totalTime","playCount","trackName"
"128",2012-09-26 13:56:37,"Rock",248066,2,"Beautiful Day"
"129",2012-03-04 23:14:59,"Indie Rock",269720,8,"Noise Of The Apache / Teruhito Tomioka"
"130",2012-03-04 23:21:42,"Indie Rock",402840,8,"MC Cat Genius' BomBassTic Re-bomb / Animal Family featuring MC Cat Genius"
"131",2012-09-10 01:42:49,"Traditional",812733,1,"『愛宕山』 登り道"
"132",2012-09-27 01:28:35,"Traditional",1963266,1,"兵庫船"
"133",2012-09-10 01:47:35,"Traditional",286426,1,"『愛宕山』 見晴らし～土器投げ"
"134",NA,"Electronica",205266,0,"Slow Ice/ Old Moon"
"135",NA,"Electronica",265293,0,"Paleosonic"
"136",NA,"Electronica",114400,0,"Dust Shuffle"
"137",NA,"Electronica",142040,0,"Bone Jump"
"138",NA,"Electronica",194960,0,"2 Forms Of Anger"
"139",2012-07-24 20:14:50,"Rock",220400,2,"You Can't Catch Me"
"140",NA,"Alternative",256040,0,"Like A Baby"
"141",2012-09-11 14:51:23,"Pop",271933,1,"風雪ながれ旅"
"142",NA,"Alternative",390226,0,"Everything She Wants"
"143",NA,"Alternative",246200,0,"I'm Your Man"
"144",NA,"Alternative",231293,0,"Wake Me Up Before You Go-Go"
"145",2012-03-28 16:45:58,"Alternative",270240,1,"Club Tropicana"
"146",NA,"Pop",311800,0,"女心"
"147",2012-05-28 13:36:23,"Classical",211440,4,"Kosma: Autumn Leaves"
"148",NA,"Pop",275360,0,"わるいひと"
"149",NA,"Pop",511800,0,"うさぎ"
"150",NA,"Pop",292573,0,"指輪"
"151",2012-05-28 13:24:59,"Classical",255400,4,"Massenet: Thais - Méditation"
"152",2012-05-28 13:27:04,"Classical",124613,4,"Dinicu: Hora Staccato"
"153",NA,"Traditional",2397466,0,"たちぎれ線香"
"154",2012-05-28 13:29:46,"Classical",162626,4,"Schubert: Ave Maria/ D 839"
"155",2012-09-07 00:52:24,"Pop",229666,3,"女のためいき"
"156",2012-05-28 13:32:51,"Classical",185093,4,"Rauber: La Vie En Rose"
"157",2012-07-25 19:17:19,"Rock",267933,10,"Hand Of Fate"
"158",2012-07-25 19:12:51,"Rock",321733,10,"Hot Stuff"
"159",2012-07-25 19:28:25,"Rock",429226,9,"Memory Motel"
"160",2012-07-25 19:21:16,"Rock",237466,9,"Cherry Oh Baby"
"161",2012-07-25 19:33:25,"Rock",299466,9,"Hey Negrita"
"162",2012-09-06 00:48:27,"Pop",310733,1,"うたかた"
"163",2012-09-23 19:13:13,"Traditional",2743360,1,"寝床"
"164",2012-09-23 22:26:06,"Traditional",1863466,1,"くやみ"
"165",NA,"Rock",156960,0,"""40"""
"166",2012-10-08 03:56:26,"Indie Rock",449506,2,"Champagne Supernova"
"167",2012-10-08 03:48:57,"Indie Rock",39200,2,"(Untitled)"
"168",2012-07-06 12:55:14,"Classical",47986,1,"Bach: Goldberg Variations/ BWV 988 - Variatio 30 Quodlibet. A 1 Clav. (Zenph Version)"
"169",2012-10-08 02:04:59,"Rock",323906,5,"Magnificent"
"170",2012-10-08 02:57:32,"Rock",253266,7,"No Line On The Horizon"
"171",2012-03-29 14:28:46,"Pop",223906,7,"Social Disease"
"172",2012-07-06 12:52:16,"Classical",49600,1,"Bach: Goldberg Variations/ BWV 988 - Variatio 27 A 2 Clav. Canone Alla Nona (Zenph Version)"
"173",2012-10-08 02:12:23,"Rock",444293,5,"Moment Of Surrender"
"174",2012-07-06 12:51:26,"Classical",52186,1,"Bach: Goldberg Variations/ BWV 988 - Variatio 26 A 2 Clav. (Zenph Version)"
"175",2012-07-06 12:54:26,"Classical",60200,1,"Bach: Goldberg Variations/ BWV 988 - Variatio 29 A 1 Ovvero 2 Clav. (Zenph Version)"
"176",2012-10-09 04:36:59,"ボイスメモ",3736,3,"7/4/12 1:32 "
"177",2012-07-06 12:53:26,"Classical",70720,1,"Bach: Goldberg Variations/ BWV 988 - Variatio 28 A 2 Clav. (Zenph Version)"
"178",2012-10-09 04:45:33,"Latin",402400,1,"Undiú"
"179",2012-10-09 04:50:19,"Latin",286066,1,"Na Baixa Do Sapateiro"
"180",2012-03-29 14:15:26,"Pop",249000,8,"Roy Rogers"
"181",NA,"Electronica",309600,0,"Invisible"
"182",2012-10-09 04:03:47,"Latin",329133,2,"Águas De Março"
"183",2012-10-09 05:38:12,"Pop",224786,6,"Tug Of War"
"184",NA,"iTunes U",2045712,0,"2-仕組みと構造の演習-エッグドロップ(1)"
"185",NA,"Rock",279333,0,"Tomorrow"
"186",NA,"iTunes U",4826026,0,"1-環境情報学の俯瞰"
"187",2012-04-09 04:38:01,"iTunes U",5252819,1,"インターネットとTV(3)"
"188",2012-04-09 04:38:08,"iTunes U",5365699,1,"まとめ"
"189",NA,"iTunes U",3169002,0,"3-仕組みと構造の実験（２）"
"190",NA,"Rock",231040,0,"Fire"
"191",NA,"iTunes U",5195596,0,"10-ユビキタスネットワーク"
"192",NA,"iTunes U",4968402,0,"11-ユビキタスコンピューティングシステムとサービス"
"193",NA,"iTunes U",5134401,0,"12-社会的制度とプライバシー保護"
"194",NA,"iTunes U",5178145,0,"13-ユビキタスコンピューティングシステムの未来"
"195",NA,"iTunes U",4844344,0,"9-アクチュエーション"
"196",2012-07-03 02:14:41,"Jazz",221600,8,"Anna"
"197",NA,"Voice Memo",6894,0,"3/5/12 7:02 "
"198",2012-10-07 20:38:35,"Pop",215453,1,"Baby"
"199",2012-10-07 20:34:29,"Pop",186266,1,"One Time"
"200",2012-10-07 20:51:42,"Pop",243493,1,"Down To Earth"
"201",2012-10-07 20:42:32,"Pop",237720,1,"One Less Lonely Girl"
"202",2012-10-07 20:54:59,"Pop",196613,1,"U Smile"
"203",NA,"Voice Memo",294845,0,"3/8/12 7:36 "
"204",2012-09-06 12:22:27,"Rock",260160,1,"Numb"
"205",2012-08-24 03:02:08,"Indie Rock",265026,15,"The Hardest Part"
"206",NA,"Indie Rock",222600,0,"Treefingers"
"207",NA,"Indie Rock",356400,0,"How To Disappear Completely"
"208",NA,"Indie Rock",211000,0,"In Limbo"
"209",NA,"Indie Rock",315973,0,"Optimistic"
"210",NA,"Indie Rock",309093,0,"Idioteque"
"211",2012-05-29 18:24:19,"Rock",198586,19,"Octopus's Garden/Sun King [Transition]"
"212",2012-08-24 03:10:38,"Indie Rock",271146,14,"Twisted Logic"
"213",NA,"Voice Memo",117143,0,"2/18/12 18:30 "
"214",NA,"Rock",252733,0,"Gloria"
"215",2012-05-29 18:09:10,"Rock",151920,22,"Blackbird/Yesterday"
"216",NA,"Voice Memo",5710,0,"2/16/12 11:13 "
"217",NA,"Voice Memo",16763,0,"2/8/12 3:46 "
"218",NA,"Voice Memo",21709,0,"2/10/12 5:45 "
"219",NA,"Indie Rock",436066,0,"Everything's Not Lost (Life Is For Living)"
"220",NA,"Indie Rock",249373,0,"We Never Change"
"221",NA,"Indie Rock",254266,0,"High Speed"
"222",2012-08-07 09:58:14,"Rap",350226,5,"Superman"
"223",NA,"Indie Rock",46333,0,"Parachutes"
"224",NA,"Indie Rock",284426,0,"Careful Where You Stand"
"225",2012-09-14 11:32:49,"Pop",312493,3,"人生道"
"226",2012-10-07 19:33:07,"Pop",250546,1,"Common Denominator"
"227",2012-06-28 20:04:52,"Jazz",98133,1,"Port View 4"
"228",NA,"Jazz",376226,0,"Hound Of Heaven"
"229",NA,"Jazz",74533,0,"Port View 5"
"230",2012-06-29 21:02:03,"Jazz",646266,1,"The Long Passage"
"231",2012-06-29 21:03:38,"Jazz",95106,1,"Port View 6"
"232",2012-01-30 19:39:37,"Short Films",145958,1,"Luxo Jr."
"233",2012-04-18 18:53:30,"Rock",175933,47,"Mr. Pitiful"
"234",2012-05-21 04:42:28,"Rock",164653,53,"Because"
"235",2012-10-07 19:18:12,"Pop",197800,1,"Bigger"
"236",2012-09-11 13:50:25,"Pop",223266,2,"なみだ船"
"237",2012-03-11 07:08:16,"Alternative",442480,1,"Memorabilia"
"238",NA,"Alternative",305973,0,"Closer To God"
"239",2012-03-31 02:45:12,"Alternative",446013,4,"All The Pigs/ All Lined Up"
"240",2012-05-13 22:08:35,"Alternative",293133,4,"Dead Souls"
"241",2012-02-06 23:17:22,"Alternative",308800,1,"Hurt (Quiet)"
"242",NA,"Spoken & Audio",2066426,0,"浜野矩隨　(Ｓ５２・１０・３１)"
"243",NA,"Other",1338226,0,"目黒の秋刀魚(S52.10.31 鈴本演芸場)"
"244",NA,"Spoken & Audio",945106,0,"町内の若い衆　(Ｓ５２・３・３１)"
"245",NA,"Spoken & Audio",1283200,0,"宮戸川-お花半七-　(Ｓ５２・１０・３１)"
"246",NA,"Pop",245533,0,"飾りじゃないのよ涙は"
"247",NA,"Spoken & Audio",2101533,0,"鼠穴"
"248",2012-05-23 09:05:55,"Country & Folk",226106,68,"After The Gold Rush"
"249",2012-03-15 02:33:30,"Country & Folk",188293,6,"Only Love Can Break Your Heart"
"250",2012-06-30 12:24:58,"Jazz",170666,1,"Tweedle Dum"
"251",2012-03-15 02:39:02,"Country & Folk",332133,5,"Southern Man"
"252",2012-09-26 20:06:39,"Pop",208866,19,"Be Here To Love Me"
"253",2012-03-15 02:40:22,"Country & Folk",80506,5,"Till The Morning Comes"
"254",2012-09-26 20:02:38,"Pop",247360,20,"In The Morning"
"255",2012-03-20 13:29:07,"Country & Folk",230293,4,"Oh/ Lonesome Me"
"256",2012-09-26 19:54:31,"Pop",191933,20,"Carnival Town"
"257",2012-06-30 12:02:52,"Jazz",99626,2,"The Trial"
"258",2012-06-30 12:09:22,"Jazz",390066,1,"Humpty Dumpty"
"259",NA,"News",597024,0,"8月22日 午後3時のニュース"
"260",2012-10-08 01:18:47,"Rap",194440,4,"Untitled"
"261",NA,"Podcast",3507372,0,"8月21日 夜10時NHKジャーナル"
"262",NA,"Podcast",2697048,0,"8月21日 夜7時NHKきょうのニュース"
"263",NA,"News",897048,0,"8月21日 朝7時のニュース"
"264",2012-09-11 22:27:12,"Pop",307973,2,"のぼり坂"
"265",NA,"Podcast",897048,0,"8月23日 正午のニュース"
"266",2012-05-17 00:17:57,"none",466760,1,"Windows"
"267",2012-05-17 00:10:10,"none",555186,1,"Very Early"
"268",2012-09-10 15:50:33,"Traditional",790306,1,"文七元結 / 再び長兵衛内～結末～追い出し"
"269",2012-05-16 22:49:23,"none",407746,1,"The Fool On The Hill"
"270",2012-05-16 23:37:10,"none",531600,1,"Summer Time"
"271",2012-08-06 17:40:47,"Jazz",792573,46,"Tuesday Wonderland"
"272",2012-09-10 15:25:49,"Traditional",97826,1,"文七元結 / 翌朝"
"273",2012-09-27 04:43:47,"Traditional",170840,1,"井戸の茶碗 再び細川屋敷窓下"
"274",2012-09-27 03:22:55,"Traditional",248933,1,"井戸の茶碗 千代田卜斎の浪宅"
"275",2012-09-27 03:24:56,"Traditional",120533,1,"井戸の茶碗 細川屋敷の窓下"
"276",2012-09-10 15:07:21,"Traditional",576573,1,"文七元結 / 近江屋内"
"277",2012-09-27 04:33:11,"Traditional",189893,1,"井戸の茶碗 陽の目を見た大金～二階からの首実験"
"278",2012-09-27 04:40:56,"Traditional",336533,1,"井戸の茶碗 清正公境内の茶店"
"279",NA,"Indie Rock",136200,0,"Lozenge Of Love"
"280",NA,"Indie Rock",168240,0,"Permanent Daylight"
"281",NA,"Indie Rock",280293,0,"Punchdrunk Lovesick Singalong"
"282",2012-04-25 23:27:32,"Jazz",412000,21,"Waltz For Debby (Take 1)"
"283",2012-04-25 23:20:34,"Jazz",393493,21,"Milestones"
"284",2012-09-11 22:32:19,"Pop",306933,2,"橋"
"285",2012-04-25 23:13:58,"Jazz",308706,22,"Some Other Time"
"286",2012-05-13 03:23:58,"Jazz",433893,24,"My Romance (Take 1)"
"287",2012-05-13 02:29:54,"Jazz",458173,29,"Detour Ahead (Take 2)"
"288",2012-09-06 21:31:51,"Pop",250760,2,"港唄"
"289",2012-03-11 06:20:36,"Pop",182333,3,"日曜日"
"290",2012-09-06 21:14:59,"Pop",217533,2,"合縁坂"
"291",2012-09-06 21:19:12,"Pop",252960,2,"波止場しぐれ"
"292",2012-09-06 21:23:28,"Pop",256040,2,"大阪つばめ"
"293",2012-03-24 22:37:15,"Pop",211573,6,"銭がなけりゃ"
"294",2012-09-26 13:33:25,"Rock",288400,1,"Peace On Earth"
"295",2012-03-14 13:20:50,"Pop",187800,4,"夕焼け"
"296",NA,"iTunes U",1455078,0,"英語の発音と発音記号"
"297",2012-04-21 19:43:11,"Jazz",1193586,2,"In A Silent Way/It's About That Time"
"298",2012-05-17 03:28:23,"Jazz",1096880,4,"Shhh/Peaceful"
"299",NA,"Pop",326400,0,"ミスコンテスト"
"300",NA,"Pop",221306,0,"ロングインタビュー"
"301",2012-04-02 04:33:15,"Pop",332133,1,"青い闇の警告"
"302",2012-03-14 13:13:33,"Pop",133773,4,"おなじみの短い手紙"
"303",NA,"Pop",256000,0,"アンチヒロイン"
"304",2012-03-14 13:15:53,"Pop",140600,6,"コーヒーブルース"
"305",NA,"Pop",219893,0,"ラブレターの気分で"
"306",2012-03-15 01:53:36,"Pop",165333,5,"自転車にのって"
"307",NA,"Pop",291333,0,"英雄"
"308",2012-03-15 01:54:42,"Pop",65333,6,"ブルース"
"309",NA,"Pop",304573,0,"最新伝説"
"310",2012-03-27 19:53:57,"Indie Rock",205600,10,"free from the Point mix / DJ Kodomo"
"311",2012-03-04 23:25:49,"Indie Rock",246813,8,"A point RE:view MIX/ Masaki Sakamoto"
"312",2012-03-28 18:44:32,"Indie Rock",190746,9,"Rinikanau Shirimetsuretsuna Kotoba Tekkai?? Version 2.4 / Samurai Distortion"
"313",2012-03-04 23:33:07,"Indie Rock",232000,8,"The walk of Basset Hound / Panpease Records"
"314",2012-03-04 23:39:53,"Indie Rock",215680,8,"Multi-ebbing View Points (Fashion Flesh re-product)/ Fashion Flesh"
"315",NA,"Alternative",407240,0,"Wham Rap!"
"316",2012-09-27 10:43:57,"Traditional",263666,1,"『三軒長屋』 伊勢勘と政五郎～サゲ～中入り"
"317",NA,"Alternative",221426,0,"Young Guns (Go For It!)"
"318",2012-03-27 20:07:25,"Alternative",320093,1,"Freedom"
"319",NA,"Alternative",277600,0,"The Edge Of Heaven"
"320",NA,"Electronica",182373,0,"Emerald And Lime"
"321",NA,"Electronica",185226,0,"Complex Heaven"
"322",NA,"Alternative",408373,0,"Last Christmas"
"323",NA,"Electronica",115600,0,"Flint March"
"324",2012-07-22 15:03:40,"Rock",126360,3,"Grown Up Wrong"
"325",2012-09-14 11:36:58,"Pop",249000,2,"仁義"
"326",2012-07-22 15:28:41,"Rock",219800,4,"2120 South Michigan Avenue"
"327",2012-07-22 15:25:01,"Rock",207493,4,"It's All Over Now"
"328",2012-07-22 15:01:33,"Rock",149640,3,"Congratulations"
"329",2012-07-22 14:59:04,"Rock",167466,3,"Under The Boardwalk"
"330",2012-09-07 01:27:01,"Pop",272533,1,"北の蛍"
"331",2012-09-07 01:31:27,"Pop",266626,1,"昭和流れうた"
"332",NA,"Pop",244000,0,"ゆうすげの恋"
"333",NA,"Pop",252373,0,"十六夜舟"
"334",NA,"Pop",324826,0,"京都去りがたし"
"335",2012-09-27 22:39:32,"Traditional",315226,1,"『羽織の遊び』 出囃子「老松」～マクラ"
"336",2012-09-26 13:24:50,"Rock",219160,1,"In A Little While"
"337",2012-07-24 17:30:47,"Alternative",209306,6,"Leave Out All The Rest"
"338",2012-07-24 17:27:18,"Alternative",189293,6,"Given Up"
"339",2012-07-24 17:22:22,"Alternative",100920,6,"Wake"
"340",2012-07-22 01:37:55,"Alternative",185800,1,"Numb"
"341",2012-07-22 01:34:49,"Alternative",144400,1,"Session"
"342",NA,"iTunes U",905747,0,"College For All? Maybe Not"
"343",NA,"iTunes U",798283,0,"Understanding Baggy Pants"
"344",NA,"iTunes U",1004274,0,"Knight of Reform"
"345",NA,"iTunes U",1104924,0,"Releasing the World's Report Card"
"346",2012-10-07 18:42:58,"Pop",98506,2,"I Still Wonder (Acoustic)"
"347",NA,"iTunes U",905392,0,"Sesame Street: At the Intersection of Laughter and Learning"
"348",NA,"Traditional",1551800,0,"天狗裁き"
"349",NA,"Traditional",2036360,0,"不動坊"
"350",NA,"Podcast",1797048,0,"9月7日 夜7時NHKきょうのニュース"
"351",2012-10-07 17:37:53,"Pop",253146,1,"Mind Games"
"352",2012-10-07 17:33:40,"Pop",240146,1,"(Just Like) Starting Over"
"353",2012-10-09 06:16:00,"Pop",222280,2,"After The Fall"
"354",NA,"Indie Rock",392733,0,"Slide Away"
"355",2012-07-24 20:03:56,"Rock",151733,1,"Surprise/ Surprise"
"356",NA,"Rap",42226,0,"Tonya (Skit)"
"357",NA,"ボイスメモ",27792,0,"5/1/12 20:00 "
"358",2012-10-08 03:48:17,"Indie Rock",304293,2,"Morning Glory"
"359",2012-09-09 01:43:10,"Traditional",386600,1,"居残り佐平次 / 三日目の朝"
"360",NA,"Rap",181360,0,"Insane"
"361",2012-10-08 03:39:34,"Indie Rock",291840,3,"Cast No Shadow"
"362",2012-07-30 16:04:58,"Rap",319866,1,"My Mom"
"363",2012-10-08 03:43:13,"Indie Rock",219533,3,"She's Electric"
"364",NA,"Rap",248200,0,"Hello"
"365",2012-07-24 20:01:24,"Rock",186560,1,"Little Red Rooster"
"366",NA,"Rap",283066,0,"Bagpipes From Baghdad"
"367",2012-10-08 03:34:42,"Indie Rock",328533,4,"Some Might Say"
"368",NA,"Electronica",235400,0,"Written/ Forgotten"
"369",NA,"Electronica",132306,0,"Emerald And Stone"
"370",NA,"Electronica",204866,0,"Calcium Needles"
"371",NA,"Electronica",200800,0,"Lesser Heaven"
"372",2012-07-24 20:34:16,"Rock",129506,2,"Oh Baby (We Got A Good Thing Goin')"
"373",NA,"Electronica",489000,0,"Late Anthropocene"
"374",2012-04-09 04:37:56,"iTunes U",4937137,1,"インターネットとTV(2)"
"375",2012-04-09 04:37:53,"iTunes U",5217150,1,"インターネットとTV(1)"
"376",2012-04-09 04:37:48,"iTunes U",5130197,1,"実空間インターネット"
"377",2012-04-09 04:37:43,"iTunes U",5022489,1,"これまでのおさらい"
"378",2012-09-09 01:58:48,"Traditional",838333,1,"居残り佐平次 / 布団部屋入り～イノどん誕生"
"379",2012-04-09 04:38:04,"iTunes U",5523257,1,"インターネットと震災"
"380",2012-09-23 21:34:00,"Pop",281600,3,"長良川艶化歌（石本美由紀）"
"381",2012-07-06 11:48:49,"Classical",37973,1,"Bach: Goldberg Variations/ BWV 988 - Variatio 9 Canone Alla Terza. A 1. Clav. (1955)"
"382",2012-10-07 18:38:12,"Pop",172186,2,"Hotel Shampoos"
"383",2012-07-06 11:48:11,"Classical",45466,1,"Bach: Goldberg Variations/ BWV 988 - Variatio 8 A 2 Clav. (1955)"
